代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,預期現金股利,現金殖利率,股利發放率中位數
2105,正新,3241000,1600,394502583.0386101,5988702.0,5270007.0,4961369.0,7182382.0,3277104,3889699,3889699.0,4555915.0,0.649506186816442,0.7380823213327801,0.9182777979223072,49.45,2024-06-28,5301189.179258776,0.033077141860426276,0.7380823213327801
2383,台光電,344300,1591,2857630925.644788,3688999.0,5493218.0,5072874.0,5488309.0,1923434,2333037,3333150.0,2829806.0,0.6324309114749015,0.6067754820580578,0.5578309258223247,475.0,2024-06-28,3330171.339158577,0.020362727359301572,0.6067754820580578
6409,旭隼,87700,1584,298778536.5868726,2197144.0,2359362.0,4432890.0,3622556.0,1932594,2054731,2054355.0,3817672.0,0.935182673507062,0.8707247976359711,0.861215144070798,1925.0,2024-06-28,3154249.340024973,0.018683820817870678,0.8707247976359711
9910,豐泰,987500,1580,286125180.2162162,4878868.0,4541841.0,9081733.0,4974908.0,2938937,3262220,3614893.0,6788944.0,0.6686428081268032,0.7959091918893683,0.7475383828174644,155.0,2024-06-28,3718934.6809856663,0.02429683744212767,0.7475383828174644
2324,仁寶,4407000,1576,1331419024.2972972,9361893.0,12632667.0,7288292.0,7667627.0,5228555,6971407,8714259.0,5228555.0,0.7446578378966733,0.6898194181798666,0.7173909881766537,34.7,2024-06-28,5500686.510499991,0.03597032563795213,0.7173909881766537
2474,可成,680400,1568,492370638.23552126,21129820.0,8575044.0,10902179.0,9151193.0,7616181,9139417,7297490.0,6803641.0,0.4325364342904956,0.8510148752589491,0.6240624924613695,232.0,2024-06-28,5710916.312575037,0.036178745721172106,0.6240624924613695
3653,健策,142900,1543,964196245.4864864,867481.0,1196152.0,2614281.0,2298194.0,605127,733352,784999.0,1661793.0,0.8453810515734639,0.6562702733431871,0.6356596708617016,1200.0,2024-06-28,1508236.4045756725,0.00879540707123672,0.6562702733431871
2353,宏碁,3048000,1518,1920217268.3590732,6029287.0,10897427.0,5003688.0,4931944.0,2331283,4501662,6841809.0,4501662.0,0.7466325620259908,0.6278371031987643,0.8996688042899558,46.85,2024-06-28,3682349.984488713,0.0257869812945817,0.7466325620259908
2377,微星,844900,1517,983079616.992278,7959505.0,16921005.0,9962520.0,7532896.0,3548396,5153623,8870438.0,5575711.0,0.6474803395437279,0.524226427449197,0.5596687384316418,178.0,2024-06-28,4215926.401056761,0.028032879371780988,0.5596687384316418
1605,華新,4031000,1502,909776764.4826256,6691149.0,14642629.0,19352097.0,5134316.0,1662891,3088030,5489781.0,6716022.0,0.4615096749452149,0.3749177145716114,0.3470436304654736,35.5,2024-06-28,1924946.0206084575,0.013451707161110252,0.3749177145716114
1102,亞泥,3547000,1482,255566907.94594595,14710486.0,15068221.0,12016396.0,10882826.0,10084585,11933944,12054870.0,8155562.0,0.8112542304856549,0.8000194581696141,0.6787028323633808,43.85,2024-06-28,8706472.559874188,0.05597723587295533,0.8000194581696141
1476,儒鴻,274400,1468,377823149.7606177,4254534.0,5148611.0,6790348.0,5176467.0,3018038,3018038,3292406.0,4664241.0,0.7093698158247178,0.6394746078116991,0.6868927778075586,529.0,2024-06-28,3555677.7968591596,0.024495291992008405,0.6868927778075586
2385,群光,760100,1463,830055462.938224,5466764.0,6154426.0,7320081.0,7463959.0,4142372,3893613,4358347.0,5420175.0,0.7122335992554278,0.708164660684847,0.7404528720378913,171.0,2024-06-28,5316082.383264944,0.040900146127779,0.7122335992554278
2888,新光金,15490000,1460,452099042.980695,,,,,5073890,5471450,6727850.0,0.0,,,,9.84,2024-06-28,,,
3702,大聯大,1679000,1447,588329866.7451737,8123355.0,11496933.0,10512466.0,8109407.0,4144804,5605076,6276699.0,6864369.0,0.6899952051830801,0.5459455143384762,0.6529741927346067,89.8,2024-06-28,5295233.489381368,0.03512028907718541,0.6529741927346067
6239,力成,759100,1446,820457315.7258687,6662262.0,8898398.0,8686730.0,8008511.0,3484785,3856288,5086309.0,5231426.0,0.578825630093803,0.5715982809489978,0.6022319100513082,188.0,2024-06-28,4635531.425688152,0.03248199453501874,0.578825630093803
