代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,平均股利發放率,預期現金股利,現金殖利率
2105,正新,3241000,1600,394502583.03861004,5988702,5270007,4961369,7182382,3277104,3889699,3889699.0,4555915.0,0.649506186816442,0.7380823213327801,0.9182777979223073,49.45,2024-06-28,0.7686221020238432,5520537.550378215,0.034445781413370055
2383,台光電,344300,1591,2857630925.644788,3688999,5493218,5072874,5488309,1923434,2333037,3333150.0,2829806.0,0.6324309114749015,0.6067754820580578,0.5578309258223247,475.0,2024-06-28,0.5990124397850947,3287565.3643844933,0.02010220807670479
6409,旭隼,87700,1584,298778536.5868726,2197144,2359362,4432890,3622556,1932594,2054731,2054355.0,3817672.0,0.9351826735070619,0.8707247976359711,0.861215144070798,1925.0,2024-06-28,0.8890408717379437,3220600.3441595184,0.019076843099465522
9910,豐泰,987500,1580,286125180.2162162,4878868,4541841,9081733,4974908,2938937,3262220,3614893.0,6788944.0,0.6686428081268032,0.7959091918893683,0.7475383828174644,155.0,2024-06-28,0.7373634609445453,3668315.380760706,0.02396612743657464
2324,仁寶,4407000,1576,1331419024.2972972,9361893,12632667,7288292,7667627,5228555,6971407,8714259.0,5228555.0,0.7446578378966733,0.6898194181798666,0.7173909881766537,34.7,2024-06-28,0.7172894147510646,5499907.683359461,0.03596523269804235
2474,可成,680400,1568,492370638.23552126,21129820,8575044,10902179,9151193,7616181,9139417,7297490.0,6803641.0,0.4325364342904956,0.8510148752589491,0.6240624924613695,232.0,2024-06-28,0.6358712673369381,5818980.690554917,0.03686333527536361
3653,健策,142900,1543,964196245.4864864,867481,1196152,2614281,2298194,605127,733352,784999.0,1661793.0,0.8453810515734639,0.6562702733431871,0.6356596708617016,1200.0,2024-06-28,0.7124369985927842,1637318.435543945,0.009548159759411855
2353,宏碁,3048000,1518,1920217268.3590734,6029287,10897427,5003688,4931944,2331283,4501662,6841809.0,4501662.0,0.7466325620259908,0.6278371031987643,0.8996688042899558,46.85,2024-06-28,0.7580461565049036,3738641.19329742,0.026181180747299138
2377,微星,844900,1517,983079616.992278,7959505,16921005,9962520,7532896,3548396,5153623,8870438.0,5575711.0,0.6474803395437279,0.524226427449197,0.5596687384316418,178.0,2024-06-28,0.5771251684748555,4347423.873103566,0.028907243015951396
1605,華新,4031000,1502,909776764.4826255,6691149,14642629,19352097,5134316,1662891,3088030,5489781.0,6716022.0,0.46150967494521494,0.37491771457161144,0.3470436304654736,35.5,2024-06-28,0.3944903399941,2025438.0644771475,0.014153955188676123
1102,亞泥,3547000,1482,255566907.94594595,14710486,15068221,12016396,10882826,10084585,11933944,12054870.0,8155562.0,0.8112542304856549,0.8000194581696141,0.6787028323633808,43.85,2024-06-28,0.7633255070062166,8307138.674110436,0.05340976587155854
