"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"158",="4966","譜瑞-KY","櫃","06/14","875","+11","+1.27","10","8.12","8.12","710","18.6","12.8","","","有","","","","半導體業","趙捷","曲明"
"159",="9914","美利達","市","06/14","234.5","-2","-0.85","10","29.9","29.9","701","51.7","31.7","有","","有","","","","運動休閒","曾崧柱","曾上原"
"160",="2204","中華","市","06/14","126.5","+2.5","+2.02","10","55.4","55.36","700","55","33.3","","","有","","","","汽車工業","嚴陳莉蓮","陳昭文"
"161",="3023","信邦","市","06/14","291.5","-4.5","-1.52","10","24","24","700","34.5","23.1","","","有","","","","電子零組件業","王紹新","梁偉銘"
"162",="1319","東陽","市","06/14","118","-1","-0.84","10","59.1","59.15","698","56.6","29.5","有","","有","","","","汽車工業","吳永茂","吳永祥"
"163",="3005","神基","市","06/14","114","+1","+0.88","10","61.2","61.18","697","34.7","22.3","有","","有","","","","電腦及週邊設備業","黃明漢","黃明漢"
"164",="5522","遠雄","市","06/14","87.8","-0.5","-0.57","10","78.2","78.16","686","45.9","24.5","","","","有","","","建材營造業","趙文嘉","王耀堂"
"165",="2809","京城銀","市","06/14","61.5","-1","-1.6","10","111","111.1","683","72.9","40.9","","","","","","","銀行業","戴誠志","姜宏亮"
"166",="4743","合一","櫃","06/14","149","+0.5","+0.34","10","45.5","45.54","678","16","12.7","有","","有","","","","生技醫療業","郭憲壽","鄭淑玲"
"167",="2404","漢唐","市","06/14","355.5","-2.5","-0.7","10","19.1","19.06","678","41.8","26.3","有","","有","有","","","其他電子業","李惠文","待董事會委任後再另行公告"
"168",="3532","台勝科","市","06/14","171","-2.5","-1.44","10","38.8","38.78","663","28.6","16.5","有","","有","","","","半導體業","林健男","田中恵一"
"169",="3105","穩懋","櫃","06/14","153.5","+0.5","+0.33","10","42.4","42.39","651","24.7","12.5","有","","有","","","","半導體業","陳進財","陳國樺"
"170",="2845","遠東銀","市","06/14","15.55","-0.1","-0.64","10","407","407","633","32.4","25.5","","","有","有","","","銀行業","侯金英","周添財"
"171",="1722","台肥","市","06/14","64.4","-0.2","-0.31","10","98","98","631","78.1","26.2","有","","","","","","化學工業","李孫榮","張滄郎代理總經理"
