"id","季度","營業利益損失","母公司業主淨利損","公司名稱"
595,"2023 第四季","792,971","739,016","弘塑"
596,"2024 第一季","214,588","171,908","弘塑"
597,"2023 第一季","920,851","0","穩懋"
598,"2023 第二季","1,882,056","0","穩懋"
599,"2023 第三季","2,731,226","0","穩懋"
600,"2023 第四季","3,524,827","-86,673","穩懋"
601,"2024 第一季","811,103","0","穩懋"
602,"2023 第一季","4,310,507","409","台灣大"
603,"2023 第二季","8,705,986","-20,939","台灣大"
604,"2023 第三季","13,067,974","-3,071","台灣大"
605,"2023 第四季","18,086,412","-4,844","台灣大"
606,"2024 第一季","4,900,799","12,556","台灣大"
607,"2023 第一季","586,823","-256,988","健鼎"
608,"2023 第二季","1,139,543","-709,595","健鼎"
609,"2023 第三季","1,785,251","688,328","健鼎"
610,"2023 第四季","2,476,260","-957,670","健鼎"
611,"2024 第一季","615,412","1,399,123","健鼎"
612,"2023 第一季","213,560","61,839","晶技"
613,"2023 第二季","446,617","-176,623","晶技"
614,"2023 第三季","700,519","-2,513","晶技"
615,"2023 第四季","950,460","-127,850","晶技"
616,"2024 第一季","244,096","312,809","晶技"
617,"2023 第一季","5,944","4,452,972","欣興"
618,"2023 第二季","7,972","5,900,886","欣興"
619,"2023 第三季","15,569","10,181,690","欣興"
620,"2023 第四季","95,685","-455,654","欣興"
621,"2024 第一季","12,639","1,674,934","欣興"
622,"2023 第一季","2,159,728","4,095,454","文曄"
623,"2023 第二季","4,324,432","4,496,926","文曄"
624,"2023 第三季","7,126,691","7,868,132","文曄"
625,"2023 第四季","10,206,341","-116","文曄"
626,"2024 第一季","2,259,098","6,644,743","文曄"
627,"2023 第一季","808,221","-24,118","智原"
628,"2023 第二季","1,658,753","-50,381","智原"
629,"2023 第三季","2,511,555","-63,019","智原"
630,"2023 第四季","3,351,382","583,114","智原"
631,"2024 第一季","883,086","336,649","智原"
632,"2023 第一季","4,416,839","5,375,603","聯詠"
633,"2023 第二季","9,513,332","12,161,375","聯詠"
634,"2023 第三季","20,355,399","0","聯詠"
635,"2023 第四季","26,661,677","23,317,509","聯詠"
636,"2024 第一季","4,893,384","4,881,519","聯詠"
637,"2023 第一季","360,964","1.15","德律"
638,"2023 第二季","698,229","2.02","德律"
639,"2023 第三季","1,056,484","3.06","德律"
640,"2023 第四季","1,422,269","1,001,254","德律"
641,"2024 第一季","409,547","1.93","德律"
642,"2023 第一季","1,082,632","5,979","信邦"
643,"2023 第二季","2,783,625","-220,950","信邦"
644,"2023 第三季","3,901,095","45,943","信邦"
645,"2023 第四季","5,008,867","-4,365","信邦"
646,"2024 第一季","1,174,013","243,578","信邦"
647,"2023 第一季","627,913","57,032","奇鋐"
648,"2023 第二季","23,628","-435,748","奇鋐"
649,"2023 第三季","2,342,622","1,083","奇鋐"
650,"2023 第四季","3,128,895","-429,724","奇鋐"
651,"2024 第一季","976,699","141,454","奇鋐"
652,"2023 第一季","430,777","-60,963","華立"
653,"2023 第二季","1,180,011","-268,076","華立"
654,"2023 第三季","1,878,887","130,697","華立"
655,"2023 第四季","2,501,555","-18,349","華立"
656,"2024 第一季","558,342","385,850","華立"
657,"2023 第一季","4,512,693","-39,097","大立光"
658,"2023 第二季","1,881,754","569,272","大立光"
659,"2023 第三季","3,085,032","1,909,329","大立光"
660,"2023 第四季","5,986,271","2,170,731","大立光"
661,"2024 第一季","1,602,161","7,919,586","大立光"
662,"2023 第一季","773,640","730,789","神基"
663,"2023 第二季","1,697,183","1,777,378","神基"
664,"2023 第三季","2,924,290","3,734,809","神基"
665,"2023 第四季","3,966,563","-51,105","神基"
666,"2024 第一季","0","883,608","神基"
667,"2023 第一季","63,709","1,021,649","鼎固-KY"
668,"2023 第二季","1,980,816","5","鼎固-KY"
669,"2023 第三季","3,556,957","-253","鼎固-KY"
