,length_fast,length_slow,return,drawdown,sharp
172,9,32,-0.0286561434123007,5.706494388188439,-0.19695282009636497
174,9,34,-0.032817310369002005,6.0022497861702435,-0.17091262985316638
132,8,32,-0.033455099050244824,5.450840774540834,-0.21371835856888738
20,5,40,-0.034838105803073935,4.94545089633498,-0.230745884346021
170,9,30,-0.03677947615191907,5.630844379483794,-0.2037555252010714
463,16,43,-0.03803117839138023,5.312368266585045,-0.25449376838061344
19,5,39,-0.03849181695561381,4.860796670434,-0.23922479716654707
54,6,34,-0.04121734498180922,5.4303828636330875,-0.21705430695978414
541,18,41,-0.04340848911167581,5.544046504740647,-0.2083315580262059
282,12,22,-0.05162546978231164,5.780312555698024,-0.19664228137581036
124,8,24,-0.053551937403906666,5.144614941915949,-0.2961472289094073
105,7,45,-0.05570839329293852,5.253156252462704,-0.22250515188562422
86,7,26,-0.05687604453803784,5.216711164798573,-0.23592732941319242
169,9,29,-0.058070400968506734,5.630844379483794,-0.2086043074285967
526,18,26,-0.06351811547513019,5.71472545375979,-0.205570859396429
323,13,23,-0.0664979161977807,5.316473686238881,-0.22706058584305883
208,10,28,-0.06679031710527311,5.630844379483794,-0.21080640071466772
402,15,22,-0.06867996801411937,5.789647301118239,-0.20465394493066877
523,18,23,-0.06995270132813658,6.053921261078722,-0.18890220661643656
322,13,22,-0.07264540969864569,5.316473686238881,-0.22873527697648138
95,7,35,-0.0747799467918606,5.277388994324865,-0.21962166382822687
494,17,34,-0.07659198645809935,5.858613980863606,-0.2061254047797844
128,8,28,-0.07769103683211268,5.144614941915949,-0.24220539047659587
133,8,33,-0.08193286309187343,5.623610567224605,-0.21506960225433286
209,10,29,-0.09488374057240934,5.706494388188439,-0.21333541965139408
375,14,35,-0.09615011143623413,5.2583427961664855,-0.23384383259338007
506,17,46,-0.1010513579843893,5.581371415523535,-0.2387973573356667
469,16,49,-0.10225612276849355,5.069318339016812,-0.2702086439769178
53,6,33,-0.11065409111939344,5.549483192687491,-0.2277670660548879
214,10,34,-0.11392046848896702,5.949116364123053,-0.19005040028682196
459,16,39,-0.1146929810454429,5.291586176585105,-0.25621970873020244
246,11,26,-0.11796869922804404,5.518258709174289,-0.22932278771063402
535,18,35,-0.11969554474077944,5.9660732980627795,-0.21281442661730837
294,12,34,-0.12112654597775524,5.531465056213725,-0.24613863238749925
500,17,40,-0.12800697980364198,5.690180013250909,-0.24422714695389083
91,7,31,-0.12931389360625362,5.243576843142903,-0.25035368165851674
499,17,39,-0.13112827180708053,5.705676906443383,-0.24471433628142064
